"relative_path","size_bytes","sha256"
".gitignore","241","1705cba00777a4b85650f5b8e938386cd7c7dbd53af55c4676ac95b67a843b1c"
"code/factorial_ablation/source_snapshot/requirements.txt","45","b03f503b3d9a1dc547fef28282955024dad7ff9627d6b22a2edb60320a44cb43"
"code/factorial_ablation/source_snapshot/scripts/run_architecture_conditioning_ablation.py","24801","ee46269623aabc5e217d8312ba23efffcbaff8bf32ba42ba8775cd06547f5ac3"
"code/factorial_ablation/source_snapshot/src/__init__.py","81","27447fc611155ec52cbfbe35bee9febbf16672b945808daf36540c82acc6e29d"
"code/factorial_ablation/source_snapshot/src/config.py","3889","addce296f24e532cff638dc04cd7139da9fc4eb20781b3ed1ffeb7cb420b3772"
"code/factorial_ablation/source_snapshot/src/dataset.py","8363","dd3eb8e8f75a5626c49ef3acc6ea7d369ceb30f986d2d007a26bc290c7ee3c2a"
"code/factorial_ablation/source_snapshot/src/evaluate.py","26380","87dec1e012b2e59a63b9601e85f685f7908288abed7aae42010e24580025157f"
"code/factorial_ablation/source_snapshot/src/manuscript.py","26683","24f5f067b697e7467db7fe068db757eca91d74a5c7cc560dbf55bfbbc83bf465"
"code/factorial_ablation/source_snapshot/src/medical_image_app.py","11236","ba2573a5372f183cedb12b8fc01d1714fe909dd0b47908b96d23322f350ecc52"
"code/factorial_ablation/source_snapshot/src/medical_processing.py","6706","38e09487c25c76fa86974b3286fff58d079d15707fc7043cf1dea11dfa65d6ba"
"code/factorial_ablation/source_snapshot/src/models.py","8577","66e2c353aab7cea4cbc8f2d110c6edf397caa579b794502aeb78807f23febb45"
"code/factorial_ablation/source_snapshot/src/noise_stats.py","8143","de59b7a0f6ff3bc0244cd16de630b7c7d0bde92c19ccb9d716b8f4f82efb1244"
"code/factorial_ablation/source_snapshot/src/observation_noise.py","3599","a1ce547a4f3101cbe5cc240809683ec948b6cc1b006266ff3a460252d496b363"
"code/factorial_ablation/source_snapshot/src/plots.py","11043","29d54b1c218bd11a0f6c515f7d43e6f982a7edf2a1030deaaf81f4aad87fcdf3"
"code/factorial_ablation/source_snapshot/src/scenarios.py","30948","5c993a1ca0a2e9df1b3d15466e11ebb8e86e13ef91aeeb7b0b035805ebfe5f83"
"code/factorial_ablation/source_snapshot/src/sim.py","23636","3dd18d81633734355172322622cb15b95a18ffb90c63cfe14fac81fc463c31e1"
"code/factorial_ablation/source_snapshot/src/train.py","4632","4093417d0fe9e45c27fe73345377386bfceebace46fe9adc32c5c3acd1faa51c"
"code/factorial_ablation/source_snapshot/tests/test_architecture_conditioning_ablation.py","2955","770958857a872317071c1d2a152e45a02e6c04fa871c5ac13a58521834ed2e34"
"code/figures/generate_publication_figures.py","20534","f05b4f27f87e140ce8152e981c56bb97991d7ce28b26066fae31bf2c8fca7ed8"
